This	DT	nsubj	O
used	VBN	ROOT	O
to	TO	aux	O
mean	VB	xcomp	O
:	:	punct	O
"	``	punct	O
No	DT	det	O
use	NN	dobj	O
of	IN	prep	O
the	DT	det	O
Taiwanese	NNP	amod	B-LANGUAGE
language	NN	pobj	O
.	.	punct	O
"	''	ROOT	O

But	CC	cc	O
while	IN	mark	O
better	RBR	advmod	O
-	HYPH	punct	O
off	RP	amod	O
Filipinos	NNP	nsubj	B-NORP
are	VBP	advcl	O
quick	JJ	acomp	O
to	TO	aux	O
cite	VB	xcomp	O
the	DT	det	O
logic	NN	dobj	O
in	IN	prep	O
using	VBG	pcomp	O
a	DT	det	O
language	NN	dobj	O
as	RB	advmod	O
widespread	JJ	advmod	O
as	IN	prep	O
English	NNP	pobj	B-LANGUAGE
,	,	punct	O
they	PRP	nsubj	O
are	VBP	advcl	O
often	RB	advmod	O
slow	JJ	acomp	O
to	TO	aux	O
reveal	VB	xcomp	O
that	IN	mark	O
they	PRP	nsubjpass	O
are	VBP	auxpass	O
prejudiced	VBN	ccomp	O
against	IN	prep	O
Filipino	NNP	pobj	B-LANGUAGE
,	,	punct	O
say	VBP	ROOT	O
advocates	NNS	nsubj	O
of	IN	prep	O
the	DT	det	O
native	JJ	amod	O
language	NN	pobj	O
.	.	punct	O

At	IN	prep	O
that	DT	det	O
time	NN	pobj	O
,	,	punct	O
many	JJ	amod	O
commentators	NNS	nsubj	O
suggested	VBD	ROOT	O
that	IN	mark	O
Love	NN	nsubj	B-WORK_OF_ART
was	VBD	ccomp	O
successful	JJ	acomp	O
largely	RB	advmod	O
because	IN	prep	O
of	IN	pcomp	O
the	DT	det	O
use	NN	pobj	O
of	IN	prep	O
Taiwanese	NNP	pobj	B-LANGUAGE
.	.	punct	O

Besides	RB	advmod	O
,	,	punct	O
"	``	punct	O
We	PRP	nsubj	O
ca	MD	aux	O
n't	RB	neg	O
put	VB	ROOT	O
the	DT	det	O
whole	JJ	amod	O
responsibility	NN	dobj	O
of	IN	prep	O
English	NNP	compound	B-LANGUAGE
language	NN	compound	O
teaching	NN	pobj	O
onto	IN	prep	O
foreign	JJ	amod	O
teachers	NNS	pobj	O
.	.	punct	O
"	''	ROOT	O

The	DT	det	O
terms	NNS	nsubj	O
of	IN	prep	O
the	DT	det	B-LAW
Geneva	NNP	compound	I-LAW
accords	NNS	pobj	I-LAW
leave	VB	ROOT	O
Moscow	NNP	dobj	B-GPE
free	JJ	acomp	O
to	TO	aux	O
provide	VB	xcomp	O
its	PRP$	poss	O
clients	NNS	dobj	O
in	IN	prep	O
Kabul	NNP	pobj	B-GPE
with	IN	prep	O
assistance	NN	pobj	O
of	IN	prep	O
any	DT	det	O
kind	NN	pobj	O
--	:	punct	O
including	VBG	prep	O
the	DT	det	O
return	NN	pobj	O
of	IN	prep	O
Soviet	JJ	amod	B-NORP
ground	NN	compound	O
forces	NNS	pobj	O
--	:	punct	O
while	IN	prep	O
requiring	VBG	pcomp	O
the	DT	det	O
U.S.	NNP	dobj	B-GPE
and	CC	cc	O
Pakistan	NNP	conj	B-GPE
to	TO	aux	O
cut	VB	advcl	O
off	RP	prt	O
aid	NN	dobj	O
.	.	punct	O

He	PRP	nsubj	O
stated	VBD	ROOT	O
that	IN	mark	O
Taiwan	NNP	nsubj	B-GPE
would	MD	aux	O
abide	VB	ccomp	O
by	IN	prep	O
the	DT	det	B-LAW
Universal	NNP	compound	I-LAW
Declaration	NNP	pobj	I-LAW
of	IN	prep	I-LAW
Human	NNP	compound	I-LAW
Rights	NNPS	pobj	I-LAW
,	,	punct	O
the	DT	det	B-LAW
International	NNP	compound	I-LAW
Covenant	NNP	appos	I-LAW
on	IN	prep	I-LAW
Civil	NNP	nmod	I-LAW
and	CC	cc	I-LAW
Political	NNP	conj	I-LAW
Rights	NNPS	pobj	I-LAW
,	,	punct	O
and	CC	cc	O
the	DT	det	B-LAW
Vienna	NNP	compound	I-LAW
Declaration	NNP	conj	I-LAW
and	CC	cc	I-LAW
Program	NNP	conj	I-LAW
of	IN	prep	I-LAW
Action	NNP	pobj	I-LAW
.	.	punct	O

Cunliffe	NNP	nsubj	B-PERSON
said	VBD	ROOT	O
the	DT	det	B-LAW
new	JJ	amod	I-LAW
regulations	NNS	nsubj	I-LAW
will	MD	aux	O
effectively	RB	advmod	O
simplify	VB	ccomp	O
border	NN	compound	O
-	HYPH	punct	O
entry	NN	compound	O
procedures	NNS	dobj	O
and	CC	cc	O
protect	VB	amod	O
citizens	NNS	poss	O
'	POS	case	O
right	JJ	amod	O
and	CC	cc	O
international	JJ	conj	O
human	JJ	amod	O
rights	NNS	conj	O
.	.	punct	O

I	PRP	nsubj	O
used	VBD	ROOT	O
Evancerol	NNP	dobj	B-PRODUCT

Consider	NNP	compound	O
Oil	NNP	ROOT	B-PRODUCT
of	IN	prep	I-PRODUCT
Olay	NNP	pobj	I-PRODUCT
,	,	punct	O
which	WDT	dobj	O
P&G	NNP	nsubj	B-ORG
acquired	VBD	relcl	O
as	IN	prep	O
part	NN	pobj	O
of	IN	prep	O
Richardson	NNP	compound	B-ORG
-	HYPH	punct	I-ORG
Vicks	NNP	compound	I-ORG
International	NNP	pobj	I-ORG
in	IN	prep	O
1985	CD	pobj	B-DATE
.	.	punct	O

Senior	NNP	amod	O
U.S.	NNP	compound	B-GPE
officials	NNS	nsubj	O
tell	VBP	ROOT	O
NBC	NNP	compound	B-ORG
News	NNP	dative	I-ORG
the	DT	det	O
Yemen	NNP	compound	B-GPE
government	NN	nsubj	O
has	VBZ	ccomp	O
all	DT	dobj	O
but	CC	cc	O
shut	VBD	conj	O
down	RP	prt	O
all	DT	det	O
cooperation	NN	dobj	O
in	IN	prep	O
finding	VBG	pcomp	O
those	DT	dobj	O
behind	IN	prep	O
the	DT	det	O
Cole	NNP	compound	B-PRODUCT
attack	NN	pobj	O
.	.	punct	O

Brigadier	NNP	compound	O
General	NNP	compound	O
Vince	NNP	compound	B-PERSON
Brooks	NNP	nsubj	I-PERSON
confirmed	VBD	ROOT	O
a	DT	det	O
USA	NNP	compound	B-PRODUCT
Warthog	NNP	compound	I-PRODUCT
aircraft	NN	nsubjpass	O
was	VBD	auxpass	O
shot	VBN	ccomp	O
down	RP	prt	O
by	IN	agent	O
an	DT	det	O
Iraqi	JJ	amod	B-NORP
missile	NN	pobj	O
today	NN	npadvmod	B-DATE
.	.	punct	O

It	PRP	nsubj	O
also	RB	advmod	O
ordered	VBD	ROOT	O
P&G	NNP	dobj	B-ORG
to	TO	aux	O
produce	VB	xcomp	O
more	JJR	amod	O
studies	NNS	dobj	O
to	TO	aux	O
buttress	VB	advcl	O
its	PRP$	poss	O
claims	NNS	dobj	O
that	WDT	mark	O
Metamucil	NNP	nsubj	B-PRODUCT
can	MD	aux	O
lower	VB	ccomp	O
cholesterol	NN	dobj	O
.	.	punct	O

In	IN	prep	O
late	JJ	amod	B-DATE
August	NNP	pobj	I-DATE
2000	CD	nummod	I-DATE
,	,	punct	O
Maysing	NNP	compound	B-PERSON
Yang	NNP	nsubj	I-PERSON
and	CC	cc	O
presidential	JJ	amod	O
advisor	NN	conj	O
and	CC	cc	O
former	JJ	amod	O
DPP	NN	compound	B-ORG
chairman	NN	conj	O
Peng	NNP	compound	B-PERSON
Ming	NNP	compound	I-PERSON
-	HYPH	punct	I-PERSON
min	NN	conj	I-PERSON
led	VBD	ROOT	O
a	DT	det	O
delegation	NN	dobj	O
to	TO	aux	O
attend	VB	acl	O
the	DT	det	O
53rd	JJ	amod	B-ORDINAL
Annual	NNP	compound	B-EVENT
DPI	NNP	dobj	I-EVENT
/	:	punct	I-EVENT
NGO	NNP	compound	I-EVENT
Conference	NNP	appos	I-EVENT
of	IN	prep	O
the	DT	det	B-ORG
United	NNP	compound	I-ORG
Nations	NNP	compound	I-ORG
Department	NNP	pobj	I-ORG
of	IN	prep	I-ORG
Public	NNP	compound	I-ORG
Information	NNP	pobj	I-ORG
.	.	punct	O

Beyond	NNP	compound	O
Iraq	NNP	nsubj	B-EVENT
were	VBD	ROOT	O
his	PRP$	poss	O
other	JJ	amod	O
lasting	VBG	amod	O
legacies	NNS	attr	O
.	.	punct	O

When	WRB	advmod	O
the	DT	det	O
program	NN	nsubj	O
of	IN	prep	O
New	NNP	compound	B-EVENT
Year	NNP	compound	I-EVENT
performances	NNS	pobj	O
wrapped	VBD	advcl	O
up	RP	prt	O
,	,	punct	O
many	JJ	amod	O
New	NNP	compound	B-GPE
Zealand	NNP	compound	I-GPE
friends	NNS	nsubj	O
came	VBD	ROOT	O
forward	RB	advmod	O
to	TO	aux	O
express	VB	advcl	O
their	PRP$	poss	O
thanks	NNS	dobj	O
,	,	punct	O
saying	VBG	advcl	O
that	IN	mark	O
they	PRP	nsubj	O
now	RB	advmod	O
felt	VBD	ccomp	O
more	RBR	advmod	O
familiar	JJ	acomp	O
with	IN	prep	O
China	NNP	pobj	B-GPE
and	CC	cc	O
were	VBD	aux	O
eagerly	RB	advmod	O
looking	VBG	conj	O
forward	RB	advmod	O
to	IN	prep	O
next	JJ	amod	B-DATE
year	NN	poss	I-DATE
's	POS	case	I-DATE
"	``	punct	O
Howick	NNP	pobj	B-GPE
in	IN	prep	O
the	DT	det	O
Park	NNP	pobj	O
"	''	punct	O
!	.	punct	O

Peng	NNP	compound	B-PERSON
Li	NNP	nsubj	I-PERSON
said	VBD	ROOT	O
that	IN	mark	O
in	IN	prep	O
the	DT	det	B-DATE
beginning	NN	pobj	I-DATE
of	IN	prep	I-DATE
September	NNP	pobj	I-DATE
of	IN	prep	I-DATE
this	DT	det	I-DATE
year	NN	pobj	I-DATE
,	,	punct	O
the	DT	det	B-ORG
United	NNP	compound	I-ORG
Nations	NNP	nsubj	I-ORG
would	MD	aux	O
hold	VB	ccomp	O
the	DT	det	B-EVENT
International	NNP	compound	I-EVENT
Population	NNP	dobj	I-EVENT
and	CC	cc	I-EVENT
Development	NNP	compound	I-EVENT
Congress	NNP	conj	I-EVENT
in	IN	prep	O
Cairo	NNP	pobj	B-GPE
with	IN	prep	O
the	DT	det	O
theme	NN	pobj	O
of	IN	prep	O
"	``	punct	O
population	NN	pobj	O
,	,	punct	O
continuous	JJ	amod	O
economic	JJ	amod	O
growth	NN	conj	O
and	CC	cc	O
continuous	JJ	amod	O
development	NN	conj	O
"	''	punct	O
.	.	punct	O

The	DT	det	O
Camden	NNP	compound	B-GPE
County	NNP	compound	I-GPE
congressman	NN	nsubj	O
still	RB	advmod	O
carries	VBZ	ROOT	O
himself	PRP	dobj	O
with	IN	prep	O
a	DT	det	O
trademark	NN	pobj	O
``	``	punct	O
I	PRP	nsubj	O
-	,	punct	O
'm	VBP	aux	O
coming	VBG	advcl	O
-	HYPH	punct	O
down	NN	advmod	O
-	HYPH	punct	O
your	PRP$	poss	O
-	HYPH	punct	O
throat	NN	npadvmod	O
''	''	punct	O
intensity	NN	dobj	O
,	,	punct	O
but	CC	cc	O
at	IN	prep	O
a	DT	det	O
pause	NN	pobj	O
in	IN	prep	O
Newark	NNP	poss	B-GPE
's	POS	case	O
Columbus	NNP	compound	B-EVENT
Day	NNP	compound	I-EVENT
parade	NN	pobj	I-EVENT
recently	RB	advmod	O
,	,	punct	O
he	PRP	nsubj	O
was	VBD	aux	O
dancing	VBG	conj	O
with	IN	prep	O
his	PRP$	poss	O
wife	NN	pobj	O
in	IN	prep	O
the	DT	det	O
middle	NN	pobj	O
of	IN	prep	O
the	DT	det	O
avenue	NN	pobj	O
in	IN	prep	O
the	DT	det	O
city	NN	poss	O
's	POS	case	O
old	JJ	amod	O
Italian	NNP	amod	B-NORP
-	HYPH	punct	O
American	NNP	amod	O
ward	NN	pobj	O
.	.	punct	O

So	RB	advmod	O
,	,	punct	O
through	IN	prep	O
contact	NN	pobj	O
and	CC	cc	O
communication	NN	conj	O
,	,	punct	O
right	UH	advmod	O
,	,	punct	O
we	PRP	nsubj	O
found	VBD	ROOT	O
out	RP	prt	O
basic	JJ	amod	O
area	NN	dobj	O
of	IN	prep	O
operation	NN	pobj	O
of	IN	prep	O
these	DT	det	O
ten	CD	nummod	B-QUANTITY
or	CC	cc	O
so	RB	conj	O
cell	NN	compound	O
phones	NNS	pobj	O
was	VBD	conj	O
around	IN	prep	O
Taiyuan	NNP	pobj	B-GPE
.	.	punct	O

``	``	punct	O
Management	NN	nsubj	O
does	VBZ	aux	O
n't	RB	neg	O
want	VB	ccomp	O
surprises	NNS	dobj	O
,	,	punct	O
''	''	punct	O
notes	VBZ	ROOT	O
Jack	NNP	compound	B-PERSON
Zaves	NNP	nsubj	I-PERSON
,	,	punct	O
who	WP	nsubj	O
,	,	punct	O
as	IN	prep	O
fuel	NN	compound	O
-	HYPH	punct	O
services	NNS	compound	O
director	NN	pobj	O
at	IN	prep	O
American	NNP	compound	B-ORG
Airlines	NNP	pobj	I-ORG
,	,	punct	O
buys	VBZ	relcl	O
some	DT	det	B-QUANTITY
2.4	CD	compound	I-QUANTITY
billion	CD	nummod	I-QUANTITY
gallons	NNS	dobj	I-QUANTITY
of	IN	prep	O
jet	NN	compound	O
fuel	NN	pobj	O
a	DT	det	O
year	NN	npadvmod	O
.	.	punct	O

I	PRP	nsubj	O
mean	VBP	ROOT	O
eighteen	CD	nummod	B-QUANTITY
pounds	NNS	dobj	I-QUANTITY
.	.	punct	O

The	DT	det	O
state	NN	poss	O
's	POS	case	O
suit	NN	nsubj	O
alleges	VBZ	ROOT	O
that	IN	mark	O
Exxon	NNP	poss	B-ORG
's	POS	case	O
response	NN	nsubj	O
to	IN	prep	O
the	DT	det	O
spill	NN	advmod	O
failed	VBD	ccomp	O
to	TO	aux	O
prevent	VB	xcomp	O
contamination	NN	dobj	O
of	IN	prep	O
hundreds	NNS	pobj	B-QUANTITY
of	IN	prep	I-QUANTITY
miles	NNS	pobj	I-QUANTITY
of	IN	prep	O
shoreline	NN	pobj	O
along	IN	prep	O
Prince	NNP	compound	B-LOC
William	NNP	compound	I-LOC
Sound	NNP	pobj	I-LOC
.	.	punct	O

In	IN	prep	O
the	DT	det	O
regions	NNS	pobj	O
,	,	punct	O
and	CC	cc	O
accelerating	VBG	conj	O
reconstruction	NN	dobj	O
in	IN	prep	O
the	DT	det	O
Karbala	NNP	compound	B-GPE
Governorate	NNP	pobj	O
,	,	punct	O
work	NN	nsubjpass	O
is	VBZ	auxpass	O
currently	RB	advmod	O
being	VBG	auxpass	O
done	VBN	ROOT	O
in	IN	prep	O
the	DT	det	O
area	NN	pobj	O
of	IN	prep	O
Husseiniya	NNP	pobj	B-GPE
to	TO	prep	O
widen	VB	pcomp	O
the	DT	det	O
road	NN	dobj	O
linking	VBG	acl	O
the	DT	det	O
area	NN	dobj	O
to	IN	prep	O
the	DT	det	O
city	NN	compound	O
center	NN	pobj	O
over	IN	prep	O
a	DT	det	O
length	NN	pobj	O
of	IN	prep	O
12	CD	nummod	B-QUANTITY
kilometers	NNS	pobj	I-QUANTITY
at	IN	prep	O
a	DT	det	O
cost	NN	pobj	O
of	IN	prep	O
3.5	CD	compound	B-QUANTITY
billion	CD	nummod	I-QUANTITY
Iraqi	JJ	amod	I-QUANTITY
dinars	NNS	pobj	I-QUANTITY
.	.	punct	O

The	DT	det	O
Irish	NNP	compound	B-NORP
-	HYPH	punct	O
Soviet	JJ	amod	O
aviation	NN	compound	O
connection	NN	nsubj	O
is	VBZ	ROOT	O
alive	JJ	acomp	O
and	CC	cc	O
well	RB	advmod	O
here	RB	advmod	O
at	IN	prep	O
Shannon	NNP	compound	B-FAC
Airport	NNP	pobj	I-FAC
.	.	punct	O

The	DT	det	B-ORG
United	NNP	compound	I-ORG
Nations	NNP	nsubj	I-ORG
and	CC	cc	O
the	DT	det	O
government	NN	conj	O
of	IN	prep	O
Indonesia	NNP	pobj	B-GPE
are	VBP	aux	O
trying	VBG	ROOT	O
to	TO	aux	O
work	VB	xcomp	O
out	RP	prt	O
a	DT	det	O
plan	NN	dobj	O
to	TO	aux	O
do	VB	acl	O
it	PRP	dobj	O
,	,	punct	O
as	IN	mark	O
VOA	NNP	poss	B-ORG
's	POS	case	O
Breck	NNP	compound	B-PERSON
Ardery	NNP	nsubj	I-PERSON
reports	VBZ	advcl	O
from	IN	prep	O
the	DT	det	O
UN	NNP	pobj	B-FAC
.	.	punct	O

According	VBG	prep	O
to	IN	prep	O
presentations	NNS	pobj	O
,	,	punct	O
the	DT	det	O
art	NN	compound	O
festival	NN	nsubj	O
to	TO	aux	O
open	VB	advcl	O
at	IN	prep	O
the	DT	det	B-FAC
Shenzhen	NNP	compound	I-FAC
Gymnasium	NNP	pobj	I-FAC
on	IN	prep	O
December	NNP	compound	B-DATE
8th	NN	pobj	I-DATE
will	MD	aux	O
focus	VB	ROOT	O
on	IN	prep	O
displaying	VBG	pcomp	O
the	DT	det	O
most	RBS	advmod	O
widely	RB	advmod	O
circulated	VBN	amod	O
Chinese	JJ	amod	B-NORP
artistic	JJ	amod	O
extracts	NNS	dobj	O
of	IN	prep	O
the	DT	det	B-DATE
20th	JJ	amod	I-DATE
century	NN	pobj	I-DATE
.	.	punct	O

What	WP	det	O
about	IN	ROOT	O
building	VBG	pcomp	O
a	DT	det	O
30	CD	nummod	B-CARDINAL
-	HYPH	punct	O
story	NN	compound	O
building	NN	dobj	O
in	IN	prep	O
the	DT	det	O
flight	NN	compound	O
path	NN	pobj	O
of	IN	prep	O
Dulles	NNP	compound	B-FAC
Airport	NNP	pobj	I-FAC
?	.	punct	O

Does	VBZ	aux	O
n't	RB	neg	O
want	VB	ROOT	O
an	DT	det	B-FAC
Abu	NNP	compound	I-FAC
Ghraib	NNP	dobj	I-FAC
on	IN	prep	O
his	PRP$	poss	O
hands	NNS	pobj	O
